"Study Title","Study Abbreviation","Authors","Published in","Date Published","Number of Randomized Patients","Conclusion","Primary Outcome","Results for the Primary Outcome","Blinding","Comparator","Link to Article"
"
              
                Inhaled Treprostinil in Pulmonary Hypertension Due to Interstitial Lung Disease.
              
            ","NA","Waxman, Aaron et al.","NEJM","2021/01/13","326","Inhalation of treprostinil improved exercise capacity in patients with pulmonary hypertension due to interstitial lung disease compared to placebo.","Difference between the two groups in the change in peak 6-minute walk distance from baseline to week 16","Least-squares mean difference between the treprostinil group and the placebo group in the change from baseline in the 6-minute walk distance was 31.12 m (95% confidence interval [CI], 16.85 to 45.39; P<0.001).","Double-blind","Treprostinil vs. Placebo","https://pubmed.ncbi.nlm.nih.gov/33440084/?format=pubmed",
"
              
                Effect of Marine Omega-3 Fatty Acid and Vitamin D Supplementation on Incident Atrial Fibrillation: A Randomized Clinical Trial.
              
            ","NA","Albert, Christine M et al.","JAMA","2021/03/16","25,119","Treatment with EPA-DHA or vitamin D3, compared with placebo, resulted in no significant difference in the risk of incident AF over a median follow-up of more than 5 years. The findings do not support the use of either agent for the primary prevention of incident AF.","Incident AF confirmed by medical record review","Incident AF events occurred in 469 (3.7%) vs 431 (3.4%) participants, respectively (hazard ratio, 1.09; 95% CI, 0.96-1.24; P = .19)","Yes","EPA-DHA and vitamin D3 vs placebo","https://pubmed.ncbi.nlm.nih.gov/33724323/?format=pubmed",
"
              
                Transdermal oestradiol for androgen suppression in prostate cancer: long-term cardiovascular outcomes from the randomised Prostate Adenocarcinoma Transcutaneous Hormone (PATCH) trial programme.
              
            ","NA","Langley, Ruth E et al.","Lancet","2021/02/14","1694","Oestrogens administered transdermally should be reconsidered for androgen suppression in the management of prostate cancer.","Cardiovascular morbidity and mortality","The time to first cardiovascular event did not differ between treatments (hazard ratio 1*11, 95% CI 0*80-1*53; p=0*54 [including sudden deaths without post-mortem report]; 1*20, 0*86-1*68; p=0*29 [confirmed group only]).","Not stated","LHRHa (n=790) or tE2 patches (n=904)","https://pubmed.ncbi.nlm.nih.gov/33581820/?format=pubmed",
"
              
                Polypill with or without Aspirin in Persons without Cardiovascular Disease.
              
            ","International Polycap Study 3 Investigators","Yusuf, Salim et al.","NEJM","2020/11/13","5713 participants","Error","Death from cardiovascular causes, myocardial infarction, stroke, resuscitated cardiac arrest, heart failure, or revascularization for the polypill comparison and death from cardiovascular causes, myocardial infarction, or stroke for the aspirin comparison","For the polypill comparison, the primary outcome occurred in 126 participants (4.4%) in the polypill group and in 157 (5.5%) in the placebo group (hazard ratio, 0.79; 95% CI, 0.63 to 1.00). For the aspirin comparison, the primary outcome occurred in 116 participants (4.1%) in the aspirin group and in 134 (4.7%) in the placebo group (hazard ratio, 0.86; 95% CI, 0.67 to 1.10). For the polypill-plus-aspirin comparison, the primary outcome occurred in 59 participants (4.1%) in the combined-treatment group","Yes","Polypill group vs. placebo group, aspirin group vs. placebo group, polypill plus aspirin group vs. double placebo group","https://pubmed.ncbi.nlm.nih.gov/33186492/?format=pubmed",
"
              
                First-line nivolumab plus ipilimumab in unresectable malignant pleural mesothelioma (CheckMate 743): a multicentre, randomised, open-label, phase 3 trial.
              
            ","NA","Baas, Paul et al.","Lancet","2021/01/24","713 patients","Nivolumab plus ipilimumab significantly improved overall survival compared to chemotherapy, with 2-year overall survival rates of 41% in the nivolumab plus ipilimumab group and 27% in the chemotherapy group.","Overall survival","Median overall survival 18.1 months (95% CI 16.8-21.4) in the nivolumab plus ipilimumab group vs. 14.1 months (12.4-16.2) in the chemotherapy group; hazard ratio 0.74 (96.6% CI 0.60-0.91); p=0.0020; 2-year overall survival rates were 41% (95% CI 35.1-46.5) in the nivolumab plus ipilimumab group and 27% (21.9-32.4) in the chemotherapy group.","Open-label","nivolumab plus ipilimumab vs. platinum plus pemetrexed chemotherapy","https://pubmed.ncbi.nlm.nih.gov/33485464/?format=pubmed",
"
              
                Effect of High-Intensity Interval Training, Moderate Continuous Training, or Guideline-Based Physical Activity Advice on Peak Oxygen Consumption in Patients With Heart Failure With Preserved Ejection Fraction: A Randomized Clinical Trial.
              
            ","OptimEx-Clin Study Group","Mueller, Stephan et al.","JAMA","2021/02/09","180","High-intensity interval training and moderate continuous training did not have a statistically significant effect on peak V","Change in peak Vo2 after 3 months","Change in peak Vo2 over 3 months for high-intensity interval training vs guideline control was 1.1 vs -0.6 mL/kg/min (difference, 1.5 [95% CI, 0.4 to 2.7]); for moderate continuous training vs guideline control, 1.6 vs -0.6 mL/kg/min (difference, 2.0 [95% CI, 0.9 to 3.1]); and for high-intensity interval training vs moderate continuous training, 1.1 vs 1.6 mL/kg/min (difference, -0.4 [95% CI, -1.4 to 0.6]).","Outcomes were analyzed by core laboratories blinded to treatment groups; however, the patients and staff conducting the evaluations were not blinded.","High-intensity interval training, moderate continuous training, and guideline-based advice on physical activity","https://pubmed.ncbi.nlm.nih.gov/33560320/?format=pubmed",
"
              
                Discontinuing b-lactam treatment after 3 days for patients with community-acquired pneumonia in non-critical care wards (PTC): a double-blind, randomised, placebo-controlled, non-inferiority trial.
              
            ","(PTC)","Dinh, Aurelien et al.","Lancet","2021/03/28","706","Discontinuing b-lactam treatment after 3 days was non-inferior to 8 days of treatment for patients admitted to hospital with community-acquired pneumonia who met clinical stability criteria, which could allow substantial reduction of antibiotic consumption.","Cure 15 days after first antibiotic intake, defined by apyrexia (temperature <=37*8degC), resolution or improvement of respiratory symptoms, and no additional antibiotic treatment for any cause","In the ITT analysis, cure at day 15 occurred in 117 (77%) of 152 participants in the placebo group and 102 (68%) of 151 participants in the b-lactam group (between-group difference of 9*42%, 95% CI -0*38 to 20*04), indicating non-inferiority.","Participants, clinicians, and study staff were masked to treatment allocation","Placebo group and b-lactam treatment group","https://pubmed.ncbi.nlm.nih.gov/33773631/?format=pubmed",
"
              
                Sotagliflozin in Patients with Diabetes and Chronic Kidney Disease.
              
            ","SCORED","Bhatt, Deepak L et al.","NEJM","2020/11/17","10,584","Sotagliflozin resulted in a lower risk of the composite of deaths from cardiovascular causes, hospitalizations for heart failure, and urgent visits for heart failure than placebo, but was associated with adverse events.","Composite of the total number of deaths from cardiovascular causes, hospitalizations for heart failure, and urgent visits for heart failure","Hazard ratio, 0.74; 95% confidence interval [CI], 0.63 to 0.88; P<0.001","Double-blind","Sotagliflozin vs. Placebo","https://pubmed.ncbi.nlm.nih.gov/33200891/?format=pubmed",
"
              
                Dipeptidyl Peptidase 4 Inhibition for Prophylaxis of Acute Graft-versus-Host Disease.
              
            ","NA","Farag, Sherif S et al.","NEJM","2021/01/06","36 patients","In this study, sitagliptin in combination with tacrolimus and sirolimus resulted in a low incidence of grade II to IV acute GVHD by day 100 after myeloablative allogeneic hematopoietic stem-cell transplantation.","Incidence of grade II to IV acute GVHD","Incidence of grade II to IV acute GVHD was 5% (95% confidence interval [CI], 1 to 16), and the incidence of grade III or IV GVHD was 3% (95% CI, 0 to 12).","Not specified","Patients receiving myeloablative conditioning followed by mobilized peripheral-blood stem-cell transplants","https://pubmed.ncbi.nlm.nih.gov/33406328/?format=pubmed",
"
              
                Cardiac Myosin Activation with Omecamtiv Mecarbil in Systolic Heart Failure.
              
            ","GALACTIC-HF","Teerlink, John R et al.","NEJM","2020/11/13","8256 patients","Omecamtiv mecarbil was associated with a lower incidence of a composite of a heart-failure event or death from cardiovascular causes than placebo.","Composite of a first heart-failure event (hospitalization or urgent visit for heart failure) or death from cardiovascular causes","1523 of 4120 patients (37.0%) in the omecamtiv mecarbil group and in 1607 of 4112 patients (39.1%) in the placebo group (hazard ratio, 0.92; 95% confidence interval [CI], 0.86 to 0.99; P = 0.03).","Unknown","omecamtiv mecarbil vs. placebo","https://pubmed.ncbi.nlm.nih.gov/33185990/?format=pubmed",
"
              
                Sotagliflozin in Patients with Diabetes and Recent Worsening Heart Failure.
              
            ","SOLOIST-WHF","Bhatt, Deepak L et al.","NEJM","2020/11/17","1222 patients","Sotagliflozin therapy, initiated before or shortly after discharge, resulted in a significantly lower total number of deaths from cardiovascular causes and hospitalizations and urgent visits for heart failure than placebo.","Total number of deaths from cardiovascular causes and hospitalizations and urgent visits for heart failure (first and subsequent events)","The rate (the number of events per 100 patient-years) of primary end-point events was lower in the sotagliflozin group than in the placebo group (51.0 vs. 76.3; hazard ratio, 0.67; 95% confidence interval [CI], 0.52 to 0.85; P<0.001).","Double-blind","Sotagliflozin group and placebo group","https://pubmed.ncbi.nlm.nih.gov/33200892/?format=pubmed",
"
              
                Effect of Discontinuing vs Continuing Angiotensin-Converting Enzyme Inhibitors and Angiotensin II Receptor Blockers on Days Alive and Out of the Hospital in Patients Admitted With COVID-19: A Randomized Clinical Trial.
              
            ","BRACE","Lopes, Renato D et al.","JAMA","2021/01/19","659 patients","These findings do not support routinely discontinuing ACEIs or ARBs among patients hospitalized with mild to moderate COVID-19 if there is an indication for treatment.","Number of days alive and out of the hospital through 30 days","There was no significant difference in the number of days alive and out of the hospital in patients in the discontinuation group (mean, 21.9 days [SD, 8 days]) vs patients in the continuation group (mean, 22.9 days [SD, 7.1 days]) and the mean ratio was 0.95 (95% CI, 0.90-1.01).","Unknown","Discontinuation (n = 334) or continuation (n = 325) of ACEIs or ARBs","https://pubmed.ncbi.nlm.nih.gov/33464336/?format=pubmed",
"
              
                Effect of Out-of-Hospital Sodium Nitrite on Survival to Hospital Admission After Cardiac Arrest: A Randomized Clinical Trial.
              
            ","NA","Kim, Francis et al.","JAMA","2021/01/12","1502 adults","Administration of sodium nitrite, compared with placebo, did not significantly improve survival to hospital admission. These findings do not support the use of sodium nitrite during resuscitation from out-of-hospital cardiac arrest.","Survival to hospital admission","205 patients (41%) in the 45 mg of sodium nitrite group and 212 patients (43%) in the 60 mg of sodium nitrite group compared with 218 patients (44%) in the placebo group; the mean difference for the 45-mg dose vs placebo was -2.9% (1-sided 95% CI, -8.0% to ; P = .82) and the mean difference for the 60-mg dose vs placebo was -1.3% (1-sided 95% CI, -6.5% to ; P = .66).","Double-blind, placebo-controlled","45 mg of sodium nitrite, 60 mg of sodium nitrite, and placebo","https://pubmed.ncbi.nlm.nih.gov/33433575/?format=pubmed",
"
              
                Effect of High-Dose Trivalent vs Standard-Dose Quadrivalent Influenza Vaccine on Mortality or Cardiopulmonary Hospitalization in Patients With High-risk Cardiovascular Disease: A Randomized Clinical Trial.
              
            ","INVESTED","Vardeny, Orly et al.","JAMA","2020/12/04","5260 participants","High-dose trival","Time to the composite of all-cause death or cardiopulmonary hospitalization during each enrolling season","In the high-dose trivalent vaccine group, there were 975 primary outcome events (883 hospitalizations for cardiovascular or pulmonary causes and 92 deaths from any cause) among 884 participants during 3577 participant-seasons (event rate, 45 per 100 patient-years), whereas in the standard-dose quadrivalent vaccine group, there were 924 primary outcome events (846 hospitalizations for cardiovascular or pulmonary causes and 78 deaths from any cause) among 837 participants during 3577 participant-seasons (event rate, 42 per 100 patient-years) (hazard ratio, 1.06 [95% CI, 0.97-1.17]; P = .21).","Double-blind","High-dose trivalent (n = 2630) vs standard-dose quadrivalent (n = 2630) inactivated influenza vaccine","https://pubmed.ncbi.nlm.nih.gov/33275134/?format=pubmed",
